date|time|description|vendor|amount
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2025-10-10|13:57:59.341274600|N/A|amazon|32.0
2025-10-10|14:04:40.672765900|null|Amazon|9000.0
2025-10-10|14:06:23.439585700|N/A|Amazon|90000.0
2025-10-10|14:08:29.925387|N/A|4000|400.0
2025-10-10|14:27:03.408878300|Toys|Amazon|250.0
2025-10-10|15:14:13.133567800|N/A|900|900.0
2025-10-11|12:37:56.514790300|N/A|Amazon|4000.0
2025-10-11|12:38:57.013055900|N/A|Amazon|2.0
2025-10-11|12:44:50.793328500|42--|amaon|2323.0
2025-10-14|09:59:16.784091600|42|4200|422.0
2025-10-14|10:10:06.935737500|N/A|amazon|22.0
2025-10-14|10:13:26.938404300|N/A|test|22.0
2025-10-14|13:24:14.030082500|400|amazon|424.0
2025-10-14|13:46:18.741971700|400|Amazon|400.0
2025-10-14|13:49:24.463455400|hi|Testing2|2424.0
